Mike	22:25 3/6/2004	130
Jim	22:25 3/6/2004	113
Tom	22:25 3/6/2004	105
Lana	22:25 3/6/2004	130
TomH	22:25 3/6/2004	125
Mike	22:26 3/6/2004	153
TomH	22:26 3/6/2004	174
Mike	12:38 3/5/2019	126
Jim	12:38 3/5/2019	101
Lana	12:38 3/5/2019	85
Jim	12:18 3/5/2019	129
Lana	12:18 3/5/2019	133
TomH	12:18 3/5/2019	88
Mike	12:18 3/5/2019	149
Jim	12:19 3/5/2019	112
Lana	12:19 3/5/2019	116
TomH	12:19 3/5/2019	100
Mike	12:19 3/5/2019	150
Jim	12:20 3/5/2019	124
Lana	12:20 3/5/2019	146
TomH	12:20 3/5/2019	166
Mike	12:20 3/5/2019	127
Lana	18:22 3/6/2019	167
Jim	18:22 3/6/2019	143
Tom	18:22 3/6/2019	109
TomH	18:22 3/6/2019	108
Tom	18:22 3/6/2019	130
Mike	18:54 3/6/2019	0
Mike	18:55 3/6/2019	116
Mike	18:56 3/6/2019	125
Mike	19:9 3/6/2019	0
Mike	19:21 3/6/2019	0
Mike	19:37 3/6/2019	0
Mike	20:8 3/6/2019	0
Mike	20:12 3/6/2019	0
Mike	20:21 3/6/2019	0
Tom	20:21 3/6/2019	0
Mike	5:43 3/0/2019	50
Mike	6:11 3/0/2019	0
